Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score
H3K27ac_PGC2.flanking.500L2_0,0.0666234536,-0.010304304,0.0894246564,-0.1546648132,1.3422398811,0.3843007272,-6.37E-08,1.12E-07,-0.5697126207
H3K4me1_peaks_TrynkaL2_0,0.1688701811,0.2358505277,0.1192575737,1.3966380927,0.7062085969,0.574322859,-9.12E-08,9.76E-08,-0.9343676432
H3K4me1_TrynkaL2_0,0.4234550697,0.6002008181,0.113814454,1.4173896147,0.2687757501,0.1182163434,-2.89E-08,5.88E-08,-0.4922295864
H3K4me1_Trynka.flanking.500L2_0,0.1822456002,0.1587995909,0.1226282781,0.8713493809,0.6728737373,0.8478872484,-8.26E-09,5.96E-08,-0.1386388402
H3K4me3_peaks_TrynkaL2_0,0.0413684654,0.1283994139,0.0840822581,3.1037992959,2.0325205979,0.2976886165,-2.30E-07,2.24E-07,-1.0239949415
H3K4me3_TrynkaL2_0,0.1328867423,0.468883174,0.0797632245,3.5284420837,0.6002346295,8.31E-05,1.91E-07,8.69E-08,2.1956201996
H3K4me3_Trynka.flanking.500L2_0,0.1221544334,-0.057498989,0.1036877355,-0.4707073449,0.8488249883,0.0843327034,-1.11E-07,7.60E-08,-1.4630938886
H3K9ac_peaks_TrynkaL2_0,0.0381863661,0.0745835653,0.0731945987,1.953146448,1.9167730823,0.6190812329,-5.64E-08,1.97E-07,-0.2860186819
H3K9ac_TrynkaL2_0,0.1253023112,0.1439603504,0.0855038898,1.1489041906,0.6823807875,0.8264864401,-3.12E-07,1.00E-07,-3.1147649653
H3K9ac_Trynka.flanking.500L2_0,0.1044697852,0.14983964,0.111933823,1.4342868589,1.0714468576,0.6822350902,-5.01E-08,1.03E-07,-0.4880712562
Intron_UCSCL2_0,0.3874513329,0.3790509121,0.0391871409,0.9783187718,0.101140808,0.8297310959,-1.89E-08,7.68E-09,-2.4587779784
Intron_UCSC.flanking.500L2_0,0.0093402978,0.0460366287,0.0352050111,4.9288181094,3.7691529808,0.2972398827,2.81E-08,3.20E-07,0.0878348869
PromoterFlanking_HoffmanL2_0,0.0082769139,-0.0275166775,0.0428104436,-3.3245093204,5.1722712082,0.4048279404,-4.13E-07,4.25E-07,-0.9720975616
PromoterFlanking_Hoffman.flanking.500L2_0,0.0248872744,0.1098462374,0.0788131622,4.4137511981,3.1668056875,0.2854888299,1.16E-07,2.81E-07,0.4106668412
